,Bitcoin,SnP 500
2022-01-24,36654.328125,4410.1298828125
2022-01-25,36954.00390625,4356.4501953125
2022-01-26,36852.12109375,4349.93017578125
2022-01-27,37138.234375,4326.509765625
2022-01-28,37784.33203125,4431.85009765625
2022-01-29,38138.1796875,
2022-01-30,37917.6015625,
2022-01-31,38483.125,4515.5498046875
2022-02-01,38743.2734375,4546.5400390625
2022-02-02,36952.984375,4589.3798828125
2022-02-03,37154.6015625,4477.43994140625
2022-02-04,41500.875,4500.52978515625
2022-02-05,41441.1640625,
2022-02-06,42412.43359375,
2022-02-07,43840.28515625,4483.8701171875
2022-02-08,44118.4453125,4521.5400390625
2022-02-09,44338.796875,4587.18017578125
2022-02-10,43565.11328125,4504.080078125
2022-02-11,42407.9375,4418.64013671875
2022-02-12,42244.46875,
2022-02-13,42197.515625,
2022-02-14,42586.91796875,4401.669921875
2022-02-15,44575.203125,4471.06982421875
2022-02-16,43961.859375,4475.009765625
2022-02-17,40538.01171875,4380.259765625
2022-02-18,40030.9765625,4348.8701171875
2022-02-19,40122.15625,
2022-02-20,38431.37890625,
2022-02-21,37075.28125,
2022-02-22,38286.02734375,4304.759765625
2022-02-23,37296.5703125,4225.5
2022-02-24,38332.609375,4288.7001953125
2022-02-25,39214.21875,4384.64990234375
2022-02-26,39105.1484375,
2022-02-27,37709.78515625,
2022-02-28,43193.234375,4373.93994140625
2022-03-01,44354.63671875,4306.259765625
2022-03-02,43924.1171875,4386.5400390625
2022-03-03,42451.7890625,4363.490234375
2022-03-04,39137.60546875,4328.8701171875
2022-03-05,39400.5859375,
2022-03-06,38419.984375,
2022-03-07,38062.0390625,4201.08984375
2022-03-08,38737.26953125,4170.7001953125
2022-03-09,41982.92578125,4277.8798828125
2022-03-10,39437.4609375,4259.52001953125
2022-03-11,38794.97265625,4204.31005859375
2022-03-12,38904.01171875,
2022-03-13,37849.6640625,
2022-03-14,39666.75390625,4173.10986328125
2022-03-15,39338.78515625,4262.4501953125
2022-03-16,41143.9296875,4357.85986328125
2022-03-17,40951.37890625,4411.669921875
2022-03-18,41801.15625,4463.1201171875
2022-03-19,42190.65234375,
2022-03-20,41247.82421875,
